name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Heathrow Airport,11/01/2019,8.5,6.1,7.2,7.2,4.5,5.6,4.6,83.58,0.99,,12.5,,,,,14.7,305.4,1030.2,85.8,13.2,73.5,2.1,1,,2019-01-11T08:03:49,2019-01-11T16:15:47,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,12/01/2019,10.3,6.9,8.9,10.3,4.6,6.6,5.4,78.99,0,,0,,,,50,25.9,267.9,1023.2,92.4,39.3,34.1,1,1,,2019-01-12T08:03:10,2019-01-12T16:17:14,0.16,Overcast,Cloudy skies throughout the day.,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,13/01/2019,11.6,9.5,10.4,11.6,6.4,9.6,6.4,76.66,0.2,,4.17,,,,53.6,31.7,277.9,1014.4,89.1,34.4,63.4,1.8,1,,2019-01-13T08:02:28,2019-01-13T16:18:43,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,14/01/2019,9.3,4.2,7.9,6.9,1.4,5.3,2.4,68.57,0,,0,,,,48.2,25.9,292.1,1020.3,71.5,21.6,63.6,2.1,1,,2019-01-14T08:01:43,2019-01-14T16:20:13,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,15/01/2019,9.3,1.9,6.8,6.9,-2.1,3.9,4,82.38,0.2,,4.17,,,,,25.9,235.5,1019.4,73.6,35,58.3,1.7,1,,2019-01-15T08:00:55,2019-01-15T16:21:45,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,16/01/2019,9.6,3.6,7.5,6.7,0.7,4.3,6.3,92.18,5.2,,12.5,,,,61.2,27.7,225.8,1005.9,78.3,22.5,25,0.7,0,,2019-01-16T08:00:04,2019-01-16T16:23:19,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,17/01/2019,5,0.3,3.2,2.3,-2.9,0.2,-0.8,76.42,0.4,,8.33,,,,46.4,18.4,291.3,1011.3,43.3,25.7,129,3.7,3,,2019-01-17T07:59:10,2019-01-17T16:24:54,0.41,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,18/01/2019,7,-1.2,2.4,3.4,-3.1,-0.5,-1.6,75.94,0,,0,,,,44.6,25.8,155.5,1016.3,84,23.4,93,3,2,,2019-01-18T07:58:13,2019-01-18T16:26:31,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,19/01/2019,5.3,2.2,4,2,-1.8,0.3,1.6,84.74,0.4,,8.33,,,,,24.1,121.7,1009.8,89.5,16.6,34.7,0.9,1,,2019-01-19T07:57:14,2019-01-19T16:28:09,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,20/01/2019,5.6,-1.2,1.9,4,-3.7,0.5,-1.2,80.49,0,,0,,,,,9.4,125,1017.9,27.5,11.8,17.7,0.2,0,,2019-01-20T07:56:11,2019-01-20T16:29:48,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,21/01/2019,5.3,-2,2,3.4,-4.2,0,-0.3,85.6,0.2,,4.17,,,,,22.3,217.2,1021.2,79.5,10.7,80.2,2.6,3,,2019-01-21T07:55:07,2019-01-21T16:31:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,22/01/2019,6.1,0.1,3,3,-2.9,0.2,1.3,88.96,9.4,,16.67,,,9,,22.3,241.6,1002.1,53.4,15.3,96.2,3.1,3,,2019-01-22T07:53:59,2019-01-22T16:33:10,0.52,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,23/01/2019,3.1,-1,1,0.5,-3.3,-1.2,-0.6,89.48,4.99,,12.5,,,8,,14.8,323.6,1002.7,74.9,10.3,67.7,2.2,1,,2019-01-23T07:52:49,2019-01-23T16:34:53,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,24/01/2019,4.8,-2.4,1.3,4.6,-4.5,0.3,0.2,92.38,2.02,,8.33,,,4,,9.3,243.6,1011.7,87,7.2,38,1.1,1,,2019-01-24T07:51:37,2019-01-24T16:36:36,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,25/01/2019,11.8,3.3,7.3,11.8,0.7,5.7,5.7,90.17,0.8,,8.33,,,,,22.2,243.6,1014,66.3,14.6,9,0,0,,2019-01-25T07:50:22,2019-01-25T16:38:20,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,26/01/2019,10.3,5.7,8.3,10.3,2.9,5.4,6.2,87.01,0.8,,8.33,,,,55.2,33.4,227.5,1002.5,77.1,29.4,99.1,2.9,2,,2019-01-26T07:49:04,2019-01-26T16:40:06,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,27/01/2019,8,3.5,5.8,4.5,-1.2,1.5,1.5,74.94,6.84,,12.5,,,,64.8,38.9,287.5,991.9,67.4,17.5,80,2.6,2,,2019-01-27T07:47:45,2019-01-27T16:41:51,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,28/01/2019,6,-0.7,2.7,2.8,-4.8,-1,-3.1,66.38,0,,0,,,,37.1,24.2,297.1,1005.9,0.5,29.6,150.5,5.4,3,,2019-01-28T07:46:23,2019-01-28T16:43:38,0.79,Clear,Clear conditions throughout the day.,clear-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,29/01/2019,6.1,-2.6,2,3.2,-4.8,-0.5,-0.8,82.36,0.52,,4.17,,,2,,20.5,198.8,999.9,78.2,23.4,108.5,3.1,2,,2019-01-29T07:44:58,2019-01-29T16:45:25,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,30/01/2019,5.8,-1.7,1.4,2.8,-5.6,-1,-1,85.05,6.02,,8.33,,,1,,14.7,288.3,995.7,27.5,25.9,189,5.4,3,,2019-01-30T07:43:32,2019-01-30T16:47:13,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,31/01/2019,3.8,-4.4,-0.2,0.4,-6.1,-3,-2.3,86.99,0.8,,8.33,,,2,48.2,27.7,136.4,991.4,45.9,16.5,114,3.3,3,,2019-01-31T07:42:03,2019-01-31T16:49:01,0.92,"Snow, Partially cloudy",Becoming cloudy in the afternoon with rain.,snow,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,01/02/2019,2.3,0.6,1.5,-0.8,-4.7,-3.1,0.5,93.18,9.65,,16.67,,,6,50,27.7,111.3,987.8,84.1,6.9,32.4,0.8,1,,2019-02-01T07:40:33,2019-02-01T16:50:49,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,02/02/2019,4.8,0.6,2.5,1.1,-3.2,-1.1,-0.8,78.89,10.72,,16.67,,,5,37.1,20.5,332.9,1006.9,60.8,20.3,104.7,3.4,3,,2019-02-02T07:39:00,2019-02-02T16:52:38,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,03/02/2019,6.6,-2.7,2.2,3.7,-5.1,-0.6,-1.7,76.62,0.2,,4.17,,,4,,22.3,242.9,1023,23.1,29,172.7,6.2,4,,2019-02-03T07:37:26,2019-02-03T16:54:27,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,04/02/2019,9.5,5.6,7.4,8,1.5,4.6,6.2,91.92,4.82,,8.33,,,2,51.8,29.5,210.1,1018.5,79.1,14.2,35,1.3,1,,2019-02-04T07:35:49,2019-02-04T16:56:16,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,05/02/2019,8.3,5.1,6.7,6.2,2.1,4.4,6,95.41,1.2,,16.67,,,,,24.1,174,1023.1,98.6,9.3,40.6,1.5,1,,2019-02-05T07:34:11,2019-02-05T16:58:06,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,06/02/2019,10.7,8.1,9.2,10.7,5.2,7.6,7.7,90.38,5.41,,12.5,,,,,18.3,197.1,1016.3,76.2,13.8,94.4,3.4,2,,2019-02-06T07:32:31,2019-02-06T16:59:56,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,07/02/2019,9.6,6.5,7.8,6.5,0.9,3.8,3.6,74.84,4.39,,8.33,,,,70.5,48.2,232.1,1006.1,60.3,29.5,148,5.3,4,,2019-02-07T07:30:49,2019-02-07T17:01:46,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,08/02/2019,10.6,7.6,9.2,10.6,3.8,6.4,7.4,88.45,7.21,,12.5,,,,70.4,40.6,207.1,999.1,73,12.1,32,1.2,1,,2019-02-08T07:29:05,2019-02-08T17:03:36,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,09/02/2019,10.1,6.6,8.2,10.1,1.7,4.8,3.4,72.16,0.82,,8.33,,,,74.1,44.6,229.2,1000.4,43.9,19.1,147.3,5.3,4,,2019-02-09T07:27:20,2019-02-09T17:05:26,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,10/02/2019,7.8,4.1,5.9,4.4,-0.1,2.6,3.5,85.05,3.2,,12.5,,,,57.6,24.1,243.8,997.8,60.4,32.1,65.5,2.4,1,,2019-02-10T07:25:33,2019-02-10T17:07:16,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,11/02/2019,8.8,2.3,5.8,8.3,0.2,4.1,1.8,76.34,0.2,,4.17,,,,,14.8,286.3,1023.4,47.6,32.8,169.4,6.1,4,,2019-02-11T07:23:45,2019-02-11T17:09:06,0.18,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,12/02/2019,11.1,2.3,6.7,11.1,0.2,5.1,3.9,82.99,0,,0,,,,33.5,24.1,228.1,1033.2,62.1,23.9,158.3,5.7,4,,2019-02-12T07:21:55,2019-02-12T17:10:55,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,13/02/2019,12.1,5.1,7.8,12.1,2.6,5.9,5.4,85.82,0,,0,,,,,22.3,194.2,1033.1,49.3,14.8,159.2,5.7,3,,2019-02-13T07:20:04,2019-02-13T17:12:45,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,14/02/2019,13.8,1.3,6.6,13.8,0.3,5.8,2.9,79.78,0.2,,4.17,,,,,14.7,126.8,1031.9,7.2,13.6,218.2,7.9,4,,2019-02-14T07:18:11,2019-02-14T17:14:35,0.33,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,15/02/2019,14.3,1.6,7.1,14.3,-0.7,6.2,3.1,78.08,0.2,,4.17,,,,,16.5,164.5,1027,0.1,12.4,221.3,8,4,,2019-02-15T07:16:17,2019-02-15T17:16:24,0.38,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,16/02/2019,11.8,3.6,8.7,11.8,1.7,7.8,7.6,92.79,0,,0,,,,,16.5,186.7,1022.7,72.8,6.6,51.6,1.3,1,,2019-02-16T07:14:21,2019-02-16T17:18:14,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,17/02/2019,14.8,4.8,9.6,14.8,2.6,8.5,6.8,84,0.2,,4.17,,,,45.6,25.9,175,1016,39.2,12.1,222.7,8,4,,2019-02-17T07:12:25,2019-02-17T17:20:03,0.47,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,18/02/2019,9.8,5,8,8,1.7,5.5,6.6,90.33,4.13,,12.5,,,,,18.3,198.3,1015.4,66.6,19.4,46.4,1.7,1,,2019-02-18T07:10:27,2019-02-18T17:21:52,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,19/02/2019,11.1,2.8,7,11.1,-0.1,4.9,3.9,81.63,0.6,,12.5,,,,29.5,25.8,228.4,1018.6,40,19.1,193.1,7.6,5,,2019-02-19T07:08:28,2019-02-19T17:23:41,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,20/02/2019,13,6.6,8.9,13,3.8,7.2,5.6,80.73,0,,0,,,,,27.7,203.8,1020,66.2,18.5,184.1,7.3,3,,2019-02-20T07:06:27,2019-02-20T17:25:30,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,21/02/2019,14.9,6.6,10.3,14.9,4.8,9.2,7.5,83.32,0.2,,4.17,,,,,20.5,216.7,1026.4,45.1,15.4,248.9,8.1,5,,2019-02-21T07:04:26,2019-02-21T17:27:18,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,22/02/2019,15.2,6.1,9.3,15.2,4.6,8.5,6.5,84.45,0.2,,4.17,,,,,14.7,165.4,1034.5,32.2,11.9,198.4,6.4,4,,2019-02-22T07:02:24,2019-02-22T17:29:06,0.56,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,23/02/2019,16.4,6.3,10.1,16.4,4.4,9.4,6.9,82.47,0.2,,4.17,,,,,16.5,123.7,1033.8,26.8,8.1,237.4,8.5,4,,2019-02-23T07:00:20,2019-02-23T17:30:54,0.6,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,24/02/2019,16.4,3,8.8,16.4,2.1,8.6,3.8,73.97,0,,0,,,,,12.9,104.2,1035.5,5.9,10.4,244.4,10.6,5,,2019-02-24T06:58:16,2019-02-24T17:32:41,0.65,Clear,Clear conditions throughout the day.,clear-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,25/02/2019,19.1,1.8,9.3,19.1,1.8,9.2,1.2,62.24,0,,0,,,,5.4,16.5,79.3,1036.2,0.1,12.3,243.8,10.5,5,,2019-02-25T06:56:11,2019-02-25T17:34:29,0.7,Clear,Clear conditions throughout the day.,clear-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,26/02/2019,20,2.6,10.4,20,2,10.1,2.9,62.45,0,,0,,,,,12.9,130.5,1032.4,0,13.9,251.3,10.9,5,,2019-02-26T06:54:05,2019-02-26T17:36:16,0.76,Clear,Clear conditions throughout the day.,clear-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,27/02/2019,18.8,2.5,10.2,18.8,2.5,10,5,73.01,0,,0,,,,,12.9,217.4,1024.8,0.4,8.4,251.8,10.9,5,,2019-02-27T06:51:58,2019-02-27T17:38:02,0.81,Clear,Clear conditions throughout the day.,clear-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,28/02/2019,12.1,5.3,9.3,12.1,3.7,8.4,7.5,88.9,0.8,,8.33,,,,46.4,31.6,247,1015.9,69.1,12.9,80.7,3.5,2,,2019-02-28T06:49:50,2019-02-28T17:39:49,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,01/03/2019,11.1,8,9.6,11.1,5.7,8.3,6.5,81.33,0.2,,4.17,,,,,16.5,254.2,1018.1,80.8,10.9,69.4,3,2,,2019-03-01T06:47:41,2019-03-01T17:41:35,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,02/03/2019,14.3,7.8,10.7,14.3,6.1,10,8.1,84.42,0.62,,8.33,,,,53.6,37,207.9,1010.1,78.8,16.5,154.5,6.1,4,,2019-03-02T06:45:32,2019-03-02T17:43:21,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,03/03/2019,12.6,9,10.8,12.6,5.6,10,8.6,86.47,6.71,,16.67,,,,75.9,46.3,219.2,998.3,79.6,14,41.2,1.6,1,,2019-03-03T06:43:22,2019-03-03T17:45:06,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,04/03/2019,10.5,4.1,6.7,10.5,0,3.3,3.1,78.46,4.82,,12.5,,,,64.7,37,255,994.4,58,33.5,171.5,7.4,4,,2019-03-04T06:41:11,2019-03-04T17:46:52,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,05/03/2019,12,3.1,7.7,12,-0.3,5.6,3.8,77.29,0.51,,8.33,,,,46.4,29.5,212.1,1002.4,47.5,32.5,229.5,9.1,5,,2019-03-05T06:39:00,2019-03-05T17:48:37,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,06/03/2019,12.3,8.7,10.5,12.3,5.6,9.1,8.3,86.48,10,,16.67,,,,50.1,33.4,184.6,989.7,85.3,15.3,74.2,2.9,1,,2019-03-06T06:36:48,2019-03-06T17:50:21,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,07/03/2019,12.3,5.8,8.2,12.3,1.5,4.9,4,75.45,1.74,,12.5,,,,88.9,53.6,253.3,992.7,65,30.7,184.4,8,4,,2019-03-07T06:34:35,2019-03-07T17:52:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
Heathrow Airport,08/03/2019,10.1,3.1,7.4,10.1,-0.6,4.5,4.2,80.98,0.61,,8.33,,,,50,33.4,242.1,1009.9,43.9,22.8,139.7,6,4,,2019-03-08T06:32:22,2019-03-08T17:53:50,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03660099999,03672099999,03768099999,D4121,03772099999,03770099999"
Heathrow Airport,09/03/2019,13.1,6.8,9.4,13.1,4,7.5,3.8,70.49,0.81,,4.17,,,,74.1,42.5,252.5,1012.3,70,17.1,155.3,6.7,4,,2019-03-09T06:30:09,2019-03-09T17:55:34,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03660099999,03672099999,03768099999,D4121,03772099999,03770099999"
Heathrow Airport,10/03/2019,10.5,2.2,7.3,10.5,-2.6,4.1,2.6,75.27,8.42,,16.67,,,,87.1,59.3,227.5,1009.1,60.3,26.3,225.1,8.9,5,,2019-03-10T06:27:55,2019-03-10T17:57:18,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03660099999,03672099999,03768099999,D4121,03772099999,03770099999"
Heathrow Airport,11/03/2019,11,3.2,6.9,11,-2.5,3.5,-0.3,61.41,3.81,,8.33,,,,57.5,31.7,261.3,1022.9,37.1,29.8,267.8,11.6,5,,2019-03-11T06:25:41,2019-03-11T17:59:01,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,D4121,03781099999,03772099999,03770099999"
Heathrow Airport,12/03/2019,9.1,4,7.1,5.5,-0.2,2.8,4.8,85.5,8.41,,12.5,,,,64.8,42.4,226.3,1007,63.4,17.1,43.7,1.7,1,,2019-03-12T06:23:26,2019-03-12T18:00:44,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999"
